Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Credit_Score,Type_of_Loan_No Data,Type_of_Loan_Others,Type_of_Loan_auto loan,Type_of_Loan_credit-builder loan,Type_of_Loan_debt consolidation loan,Type_of_Loan_home equity loan,Type_of_Loan_mortgage loan,Type_of_Loan_not specified,Type_of_Loan_payday loan,Type_of_Loan_personal loan,Type_of_Loan_student loan,Payment_Behaviour_High_spent_Large_value_payments,Payment_Behaviour_High_spent_Medium_value_payments,Payment_Behaviour_High_spent_Small_value_payments,Payment_Behaviour_Low_spent_Large_value_payments,Payment_Behaviour_Low_spent_Medium_value_payments,Payment_Behaviour_Low_spent_Small_value_payments
26.0,62846.31,5393.1925,9.0,8.0,20.0,7.0,40.0,18.0,1.79,10.0,0,4073.62,27.0,1,284.98291964752286,59.33641594945257,321.85586906244566,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26.0,44632.44,3419.370000000001,10.0,6.0,33.0,5.0,15.0,18.0,23.48,6.0,0,3409.13,77.0,1,154.14231087946283,46.8614379095034,83.0645057902289,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.0,28062.39,2397.5325,5.0,5.0,7.0,1.0,25.0,1.0,9.74,3.0,2,839.85,217.0,0,14.835134835161696,20.765301398442222,443.0503626453584,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
50.0,97010.16,8178.18,1.0,7.0,3.0,0.0,10.0,1.0,0.71,7.0,2,248.84,363.0,2,0.0,98.7224994690673,927.6397696753064,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37.0,88406.34,7113.195,2.0,7.0,12.0,4.0,10.0,3.0,9.06,3.0,2,1273.15,378.0,0,242.2368498447588,90.48263251919502,515.4257845671455,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
38.0,30739.3,2298.608333333333,4.0,4.0,13.0,6.0,15.0,10.0,16.7,4.0,1,1365.58,213.0,1,135.2381410533745,24.695750415981102,319.92694186397773,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44.0,29894.7,2570.225,4.0,3.0,19.0,7.0,20.0,13.0,10.33,6.0,1,1049.2,159.0,1,95.87008851162832,29.85333864289988,361.26807315466806,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26.0,20380.51,1854.375833333333,8.0,3.0,20.0,5.0,6.0,15.0,9.5,12.0,1,153.7,162.0,1,57.299498128700144,41.424365231283495,223.92343559088297,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19.0,17816.75,1623.729166666667,5.0,5.0,8.0,1.0,32.0,15.0,3.03,4.0,1,438.66,188.0,1,12.03182073160791,54.86746664257447,285.5958741954663,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17.0,10499.56,995.9633333333333,8.0,3.0,11.0,7.0,20.0,10.0,7.86,5.0,1,2469.98,205.0,1,40.53744008958719,25.12227664252101,263.80593727375003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42.0,11381.825,1003.4854166666668,5.0,5.0,15.0,3.0,8.0,20.0,11.06,4.0,1,256.61,313.0,1,14.887240780455969,17.671549932581335,251.45997236612385,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
